name,sha,url
darmiel/eeee,f4114a3bf831ae88f6cca606f4d0f93ac09cc210,https://github.com/darmiel/eeee
dart-maven-plugin/dart-maven-plugin,26f3aedd34940bf9edc467cff15ddf08c61ae1a2,https://github.com/dart-maven-plugin/dart-maven-plugin
davidB/scala-maven-plugin,28c62b2d234a5d5a9875fbc43377e0ad0f80e97f,https://github.com/davidB/scala-maven-plugin
DavidHerBet/java-codility,b49e73cd255b00954e6cb5db6deeb609e9566b8b,https://github.com/DavidHerBet/java-codility
davidmoten/guava-mini,a338c6f895a10bb155422491cd7448bf693ff393,https://github.com/davidmoten/guava-mini
davidmoten/word-wrap,8dd2a0d7d6aff3f567cb6f05d9aa5337be903983,https://github.com/davidmoten/word-wrap
ddopson/java-class-enumerator,6f6d17c9c5f78d348cf3a07d6701cda028bc4b8b,https://github.com/ddopson/java-class-enumerator
delthas/JavaMP3,8b42e48a549813b43c99db9fef525286c888a082,https://github.com/delthas/JavaMP3
demidenko05/beigesoft-accounting,0170596e736d3cc69f70c88ced3b9d78f63ddca1,https://github.com/demidenko05/beigesoft-accounting
demidenko05/beigesoft-webstore,624d41d82547ff897ca5b3740d8d73cb2dacf052,https://github.com/demidenko05/beigesoft-webstore
de-mklinger/tomcat-juli-slf4j,bab30333e751f1bb4030be8868566b9beffcc5ef,https://github.com/de-mklinger/tomcat-juli-slf4j
devnied/Bit-lib4j,d0c1eff1da901a9022536240347ba7b4bf2e5106,https://github.com/devnied/Bit-lib4j
dhatim/business-hours-java,d41cdf0d8868a7d67b0a666fa513d0ae18e5c243,https://github.com/dhatim/business-hours-java
dibbhatt/kafka-spark-consumer,652c221d8d6502470756e5d4062b89dd00cb9ab5,https://github.com/dibbhatt/kafka-spark-consumer
digipost/http-client-builder,92e9033846bf6c7f2518eaacda2e068cc2286af7,https://github.com/digipost/http-client-builder
digitalheir/java-nfa,646a76c291253614abc5708107dee7b4387ca784,https://github.com/digitalheir/java-nfa
DigitalPebble/TextClassification,00bdf831195035697ef8aa3b1bd994bdbdc733c5,https://github.com/DigitalPebble/TextClassification
digitalpetri/opc-ua-nodeset-parser,76ff6ce459b902a6fe2d2ab154ec8fcdf2064330,https://github.com/digitalpetri/opc-ua-nodeset-parser
digital-preservation/utf8-validator,ef32eba0a3c14bed783c2441e672bae0943bbcfa,https://github.com/digital-preservation/utf8-validator
dingjs/javaagent,aa1cea60d0042f58977fb5d42c16afca92ad589d,https://github.com/dingjs/javaagent
dkellenb/formula-evaluator,6b5290da07c10227c328367db43d237727a4e188,https://github.com/dkellenb/formula-evaluator
dmcg/okey-doke,6bdc7cfe0ab66951b3866b954ba00f8b0a783310,https://github.com/dmcg/okey-doke
dmitry-zhuravlev/jooq-postgis-spatial,677fa06ec77d3df96c67ae16e5225c27fa893df6,https://github.com/dmitry-zhuravlev/jooq-postgis-spatial
dpaukov/combinatoricslib,22e3e1cd127221d6f55a365f58ca82dd168cfc9b,https://github.com/dpaukov/combinatoricslib
d-plaindoux/suitcase,f05c59733d141cb20f56f00ec1397d22af02e58b,https://github.com/d-plaindoux/suitcase
dpressel/sgdtk,3877185750a7146d0b385f87782fe5b024de10d2,https://github.com/dpressel/sgdtk
Driftt/EmailReplyParser,ee4d2707f0416a35ec91c13b04e13f1f794aa31a,https://github.com/Driftt/EmailReplyParser
dspinellis/ckjm,9b72e85bdad62b656b39c0cd46de58a372e11024,https://github.com/dspinellis/ckjm
dsyer/spring-security-rsa,0828494aa4939860a5e672a3752263edf243c357,https://github.com/dsyer/spring-security-rsa
dubin555/Kafka-Insight,7e4d2187956257986a1780bb6ea8b0e687ddacd2,https://github.com/dubin555/Kafka-Insight
duguying/pinyin,3d2a08f42118c4b661653b177b4af741c1b8ca25,https://github.com/duguying/pinyin
duma-repo/manis-study,fa4f5258c5a893559eaa62d4c661b4ed1d3b9a40,https://github.com/duma-repo/manis-study
dyng/polling,1d0db5f52ab337f60dbb8c8184f118b09347b443,https://github.com/dyng/polling
earcut4j/earcut4j,34eba53a48c898f002fbfa00a8e1fb24621f0f02,https://github.com/earcut4j/earcut4j
ecki/et-otp,663228f2b6ad7d3f20aad04ca5f675b49662a78c,https://github.com/ecki/et-otp
e-gineering/gitflow-helper-maven-plugin,2d6d947113a17fc56d51349cff71b201ed3ee476,https://github.com/e-gineering/gitflow-helper-maven-plugin
EladLeev/KeyToField-smt,f0c4462faaa94769d0ddae8b093b96d3c6b43162,https://github.com/EladLeev/KeyToField-smt
elasql/elasql,f92e6393437f01b04e8e682a1467c90b9550a7ce,https://github.com/elasql/elasql
entrusc/xdata,274c27b5b283f6692dc4538d08a3a9f8cac08fa4,https://github.com/entrusc/xdata
erdtman/java-json-canonicalization,535ab0075405f6aafb96a4197f943838130666d3,https://github.com/erdtman/java-json-canonicalization
eurekaclinical/javautil,1f1c8a94663c531c9e168c7a58d485f7fc3b0158,https://github.com/eurekaclinical/javautil
everwatchsolutions/json-data-generator,dd51c6c41a5a1aefca071db29816707b8fef1e51,https://github.com/everwatchsolutions/json-data-generator
EXIficient/exificient-core,fce10c39fe654c9ae9660454ac6d6d2abc6a48ac,https://github.com/EXIficient/exificient-core
f0ng/captcha-killer-modified,567cc95456b1ded62571366b39293149fa592257,https://github.com/f0ng/captcha-killer-modified
f4b6a3/ksuid-creator,67c73c837959413f5575dae1eaf25aa8f706d8bf,https://github.com/f4b6a3/ksuid-creator
f4b6a3/ulid-creator,477d5dc2c18c3e661e395f58e6f73bc01ce38371,https://github.com/f4b6a3/ulid-creator
fangyidong/json-simple,2f4b7b5bed38d7518bf9c6a902ea909226910ae3,https://github.com/fangyidong/json-simple
fasseg/exp4j,4657309f9cd95ca8b6e5e1ef855167d4f9d21d83,https://github.com/fasseg/exp4j
FasterXML/jackson-annotations,8b1f10c1c026bd608c114a55d558117e6e1b7c74,https://github.com/FasterXML/jackson-annotations
FasterXML/jackson-benchmarks,7fa1ce9e25e2a7395d69c44eafb373a190a3038d,https://github.com/FasterXML/jackson-benchmarks
FasterXML/java-classmate,efdecd0c971b6b8fae3b6e3d8154c2b7ab52d3d0,https://github.com/FasterXML/java-classmate
FDMediagroep/hamcrest-jsoup,f51e08a6da93e55ce878981d1119e67f5be538e6,https://github.com/FDMediagroep/hamcrest-jsoup
feiYouLian/jpinyin,278120a35179be1da47bd2178501869a2d527142,https://github.com/feiYouLian/jpinyin
FelixGail/gplaymusic,b8c7b2c783cf125db9993f5ffb7e25f58152e875,https://github.com/FelixGail/gplaymusic
fengwenyi/api-result,290d2ffa321819498e228ff21fd4fc38c7e8cd21,https://github.com/fengwenyi/api-result
figo-connect/java-figo,f64fb10b198fa2e1c206447a93514b4ff937cf42,https://github.com/figo-connect/java-figo
fiji/AnalyzeSkeleton,ad6e1659033cee8352cb39338dea6353bd106c09,https://github.com/fiji/AnalyzeSkeleton
floverfelt/find-and-replace-maven-plugin,9bb4fac7f343e281b8211bfa7d5057a1d9036837,https://github.com/floverfelt/find-and-replace-maven-plugin
Flying9001/pay,8aaffcf72f3de00a9838f8626c6d30a10f4bd525,https://github.com/Flying9001/pay
forcedotcom/SiteCrawler,dcc0d7ed44b6cf8032e693a6344eaa2aed9dd4e2,https://github.com/forcedotcom/SiteCrawler
fordfrog/ruian2pgsql,0b41872d830f4ed35ad5f19d28ba4690cec641e5,https://github.com/fordfrog/ruian2pgsql
ForteScarlet/Mock.java,cdec193a1453de629ea9d985affc5ced8a872860,https://github.com/ForteScarlet/Mock.java
Francesco149/koohii,b5eda610c727576900ad450ff7ced14124d88bae,https://github.com/Francesco149/koohii
francisdb/serviceloader-maven-plugin,09ad34bd0fd9ef836e8e0ae41e1b2a4655d6ce21,https://github.com/francisdb/serviceloader-maven-plugin
freva/ascii-table,aa82c99750ca0358fe261ffab6e14274f3b968e8,https://github.com/freva/ascii-table
fuzziness/kabeja,dd499942c8421e826ee1e04ab2960f23a94d3b78,https://github.com/fuzziness/kabeja
fzakaria/ascii85,c6d04cd1e8c93cb056fe53211a79716c1789ca17,https://github.com/fzakaria/ascii85
g4dpz/predict4java,745c0f50edef0eb0514f0f1345430092e20a21eb,https://github.com/g4dpz/predict4java
g4s8/cactoos-crypto,3dd53f5e89c7676d259c6b093c3abe2a575aaf2b,https://github.com/g4s8/cactoos-crypto
GaoLeiQin/SwordOffer,e913888a563f667d631954abaf148f6e3583954f,https://github.com/GaoLeiQin/SwordOffer
gaols/reduce-rule,0e63bbaca9b22e7960287a79619c1852266cee42,https://github.com/gaols/reduce-rule
GeBeater/dozer-jdk8-support,5b0ac8e06d1e803c1c82deca8fb6210c33b5b016,https://github.com/GeBeater/dozer-jdk8-support
geftimov/hadoop-map-reduce-patterns,4c3078d0617c0a4c87eb44544ad606ca09a951c8,https://github.com/geftimov/hadoop-map-reduce-patterns
gesellix/Nimbus-JOSE-JWT,049e0820aa9ff3f68e1446c10def7c4bbaf80221,https://github.com/gesellix/Nimbus-JOSE-JWT
ghacupha/book-keeper,fd075d3053b9507a1b4d255e4b6d888d9957104f,https://github.com/ghacupha/book-keeper
ghosthack/turismo,47370effc2b59aa5d836b30f3788c21b31059bd6,https://github.com/ghosthack/turismo
Gikkman/Java-Twirk,ecfcc8962f8575a03140632262439ba48f80a4ad,https://github.com/Gikkman/Java-Twirk
giltene/jHiccup,d2e18b8e9f42c60e67633bf7fc00b91cd321136b,https://github.com/giltene/jHiccup
gisarmory/mbtiles4j,6bbabde77b30788b7b9b242c1088c745a7b13aac,https://github.com/gisarmory/mbtiles4j
GitHub-Laziji/reverse-regexp,b5d917454a3b71da1e2845197fef9284a21b9c0a,https://github.com/GitHub-Laziji/reverse-regexp
gkopff/gson-javatime-serialisers,cc68c6bb71161a51437f4523113a6711a9d16c0f,https://github.com/gkopff/gson-javatime-serialisers
gmr/rabbitmq-flume-plugin,b4c9db81cd64ef84f58d32047ee753c0994f65a3,https://github.com/gmr/rabbitmq-flume-plugin
GMWolf/artemis-odb-eeel,242b001a2c1c77c92959a7cee7c7036a0a3bf719,https://github.com/GMWolf/artemis-odb-eeel
goncalomb/NBTEditor,135d6ac5f6308f86a487d252f20363783230c260,https://github.com/goncalomb/NBTEditor
GoSimpleLLC/jpgAgent,9134727c5891dc3a2c3301d5bc3ffbd32970466f,https://github.com/GoSimpleLLC/jpgAgent
goxr3plus/java-google-speech-api,1765ff302a901e94dfe24d5049a1e857ab0638ad,https://github.com/goxr3plus/java-google-speech-api
gradusnikov/jmatio,a42b41921735ac3f7b3e62fdd90c9982b1a0a015,https://github.com/gradusnikov/jmatio
grantneale/kafka-lag-based-assignor,ea0e22438bc12a64ee377acb62d0cbe551bfd04d,https://github.com/grantneale/kafka-lag-based-assignor
gregorriegler/babdev-spring,0642f7118ccb7b36f6da5b6b6b2c988c700ef89a,https://github.com/gregorriegler/babdev-spring
gridgain/yardstick,51ba8621d225bb4c3db3dbedb567ce7168329009,https://github.com/gridgain/yardstick
gridkit/jvm-attach,b996581f9cee927ba7bfe3fd1448e1b50f52dff7,https://github.com/gridkit/jvm-attach
grumlimited/geocalc,4f14539ee15f16b6ddc54be9555c807d82fa7874,https://github.com/grumlimited/geocalc
Guo-xm/mybatis-expand,02d566eed86a2c0efaed5bd0e4366efc5ac91dff,https://github.com/Guo-xm/mybatis-expand
habernal/confusion-matrix,7d42e15d742911d8eff45e52bbf961e5a833511d,https://github.com/habernal/confusion-matrix
hackingwu/Java-Promise,8f198c917761cb58267d04f36e7038ac68caab6f,https://github.com/hackingwu/Java-Promise
hajhouj/fastsico,2278e60a1685671388c200ff0dc71bd05ab896b6,https://github.com/hajhouj/fastsico
harawata/appdirs,c5cf71b81199dcc34d02d58c9eabb3aa030b8de0,https://github.com/harawata/appdirs
Harium/etyl,8f3e4f970ce6e0d0cb589224ad51e770f570b90a,https://github.com/Harium/etyl
Harium/keel,bb6a1cf5104d609399ddf9a803ae60d6caee7a3b,https://github.com/Harium/keel
HebiRobotics/HebiCam,6be0db896daefa147e1fad8533d86893fad08367,https://github.com/HebiRobotics/HebiCam
hellige/ccs,4d051b1398d50afbc643fd8dc033a8c4937ce316,https://github.com/hellige/ccs
hellokaton/webp-io,ca213ece0e42a1bf89a68c5ce69a311ce24168c7,https://github.com/hellokaton/webp-io
heremaps/oksse,be5d2cd6deb8cf3ca2c9a740bdacec816871d4f7,https://github.com/heremaps/oksse
Heroicai0101/abtest,af4fee940ce65e2cb91ce9b7fd1472748131cac5,https://github.com/Heroicai0101/abtest
heroku/heroku-jvm-application-deployer,ffd498f1a94853b30bc0275a6ef495f2ec3a11f7,https://github.com/heroku/heroku-jvm-application-deployer
hertzsprung/hamcrest-json,04ad1d0b96e812b26b608b5eea8e74c2b0af25d8,https://github.com/hertzsprung/hamcrest-json
hifly81/bank-account-axon,af3846d9e5d6d2b23296954c66c58d1f9fdd61c9,https://github.com/hifly81/bank-account-axon
hivsuper/document-converter,3a9c4d0f0d8ae7138d7d3a49067d390da61f7192,https://github.com/hivsuper/document-converter
hneemann/Oscilloscope,a8bee8754ba8988a758f691b9839f139c8ba59d2,https://github.com/hneemann/Oscilloscope
hoijui/ReZipDoc,5d3a7da0d4e296809f6363917e5ffc0503535f59,https://github.com/hoijui/ReZipDoc
hongbeomi/Programmers,79f681a74e5e453c16d3a403c01d692459e6fdb4,https://github.com/hongbeomi/Programmers
houbb/heaven,67570a31a24a8202f095b37b7d6eb8410279f420,https://github.com/houbb/heaven
houbb/pinyin,839e4a972b539d480101841cd663f4f773d3a4cb,https://github.com/houbb/pinyin
houbb/word-checker,f17f7442b4f6f80f145e7f10689854c225c01093,https://github.com/houbb/word-checker
hsluv/hsluv-java,a8c1e1903bb2bd76413f103bd6afbfcfd6c96a38,https://github.com/hsluv/hsluv-java
hs-web/hsweb-utils,0c259f5b6157933f1aac44f27b49ded034b9c4c9,https://github.com/hs-web/hsweb-utils
hubert-marteau/MultiChainJavaAPI,b12390d862e8f2f6aa0cace94cffb888de5b36cb,https://github.com/hubert-marteau/MultiChainJavaAPI
HugoJhonathan/Challenge-Oracle-ONE-conversordemoedas,ac92bfe759b80b988954a17d29b412c8d934864b,https://github.com/HugoJhonathan/Challenge-Oracle-ONE-conversordemoedas
huiwang/cracking-the-coding-interview,c6bad9c38b80ba54389aca270049f8a5f9d236fc,https://github.com/huiwang/cracking-the-coding-interview
huiyang100/excel-formula-engine,177a6f6d9cfbc34f543a4defc40627a55d5cdbb9,https://github.com/huiyang100/excel-formula-engine
humbertodias/java-data-structures-algorithms,1213cc577251a9b7ffa83bfc64d60421eb70b983,https://github.com/humbertodias/java-data-structures-algorithms
hummeling/if97,a508c11bea77ebc39d6bf8c7b21854947e07ca96,https://github.com/hummeling/if97
ibit-tech/sql-builder,781c638ea7d89da2231003ad750e0269207d437b,https://github.com/ibit-tech/sql-builder
IBM-Cloud/gp-java-client,f73873d09c664c5153026517e2c2a45d4cffa071,https://github.com/IBM-Cloud/gp-java-client
iceenongli/iceworkday,575f42cd8218900cd71f353c58990f43daa01d9f,https://github.com/iceenongli/iceworkday
